job,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j9_allan_probe,28,4,0.759766,2048,0.981197,2026-06-21T15:54:25.925478+00:00
j9_allan_probe,29,4,0.764648,2048,0.981197,2026-06-21T15:54:32.796965+00:00
j9_allan_probe,30,4,0.747070,2048,0.981197,2026-06-21T15:54:37.689740+00:00
j9_allan_probe,31,4,0.772461,2048,0.981197,2026-06-21T15:54:44.755576+00:00
j9_allan_probe,32,4,0.754883,2048,0.981197,2026-06-21T15:54:51.752081+00:00
j9_allan_probe,33,4,0.794922,2048,0.981197,2026-06-21T15:54:56.566875+00:00
j9_allan_probe,34,4,0.748047,2048,0.981197,2026-06-21T15:55:05.682862+00:00
j9_allan_probe,35,4,0.777344,2048,0.981197,2026-06-21T15:55:12.749533+00:00
j9_allan_probe,36,4,0.751953,2048,0.981197,2026-06-21T15:55:19.810337+00:00
j9_allan_probe,37,4,0.775391,2048,0.981197,2026-06-21T15:55:26.827241+00:00
j9_allan_probe,38,4,0.754883,2048,0.981197,2026-06-21T15:55:33.726318+00:00
j9_allan_probe,39,4,0.739258,2048,0.981197,2026-06-21T15:55:38.518690+00:00
j9_allan_probe,40,4,0.769531,2048,0.981197,2026-06-21T15:55:45.428441+00:00
j9_allan_probe,41,4,0.768555,2048,0.981197,2026-06-21T15:55:52.303980+00:00
j9_allan_probe,42,4,0.767578,2048,0.981197,2026-06-21T15:55:59.250410+00:00
j9_allan_probe,43,4,0.732422,2048,0.981197,2026-06-21T15:56:03.967746+00:00
j9_allan_probe,44,4,0.766602,2048,0.981197,2026-06-21T15:56:10.743413+00:00
j9_allan_probe,45,4,0.764648,2048,0.981197,2026-06-21T15:56:17.550012+00:00
j9_allan_probe,46,4,0.769531,2048,0.981197,2026-06-21T15:56:24.467839+00:00
j9_allan_probe,47,4,0.768555,2048,0.981197,2026-06-21T15:56:29.365683+00:00
j9_allan_probe,48,4,0.743164,2048,0.981197,2026-06-21T15:56:36.343919+00:00
j9_allan_probe,49,4,0.741211,2048,0.981197,2026-06-21T15:56:43.486109+00:00
j9_allan_probe,50,4,0.768555,2048,0.981197,2026-06-21T15:56:48.273035+00:00
j9_allan_probe,51,4,0.777344,2048,0.981197,2026-06-21T15:56:55.265114+00:00
