job,schedule,label,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j12_drift_design_long,interleaved,A,6,4,0.758301,4096,0.981197,2026-06-21T18:02:24.607313+00:00
j12_drift_design_long,interleaved,B,6,4,0.750000,4096,0.981197,2026-06-21T18:02:37.640361+00:00
j12_drift_design_long,interleaved,A,7,4,0.778320,4096,0.981197,2026-06-21T18:02:50.732671+00:00
j12_drift_design_long,interleaved,B,7,4,0.761230,4096,0.981197,2026-06-21T18:03:01.579292+00:00
j12_drift_design_long,interleaved,A,8,4,0.755371,4096,0.981197,2026-06-21T18:03:14.550596+00:00
j12_drift_design_long,interleaved,B,8,4,0.761230,4096,0.981197,2026-06-21T18:03:27.505807+00:00
j12_drift_design_long,interleaved,A,9,4,0.761719,4096,0.981197,2026-06-21T18:03:40.473740+00:00
j12_drift_design_long,interleaved,B,9,4,0.755859,4096,0.981197,2026-06-21T18:03:53.519556+00:00
j12_drift_design_long,interleaved,A,10,4,0.762695,4096,0.981197,2026-06-21T18:04:06.633763+00:00
j12_drift_design_long,interleaved,B,10,4,0.758789,4096,0.981197,2026-06-21T18:04:17.542286+00:00
j12_drift_design_long,interleaved,A,11,4,0.770020,4096,0.981197,2026-06-21T18:04:30.553579+00:00
j12_drift_design_long,interleaved,B,11,4,0.757812,4096,0.981197,2026-06-21T18:04:43.653078+00:00
j12_drift_design_long,interleaved,A,12,4,0.770996,4096,0.981197,2026-06-21T18:04:56.698784+00:00
j12_drift_design_long,interleaved,B,12,4,0.753418,4096,0.981197,2026-06-21T18:05:09.772382+00:00
j12_drift_design_long,interleaved,A,13,4,0.753418,4096,0.981197,2026-06-21T18:05:22.659232+00:00
j12_drift_design_long,interleaved,B,13,4,0.761719,4096,0.981197,2026-06-21T18:05:33.498177+00:00
j12_drift_design_long,interleaved,A,14,4,0.761230,4096,0.981197,2026-06-21T18:05:48.782117+00:00
j12_drift_design_long,interleaved,B,14,4,0.766113,4096,0.981197,2026-06-21T18:05:59.744862+00:00
j12_drift_design_long,interleaved,A,15,4,0.754395,4096,0.981197,2026-06-21T18:06:12.894950+00:00
j12_drift_design_long,interleaved,B,15,4,0.759277,4096,0.981197,2026-06-21T18:06:25.642242+00:00
j12_drift_design_long,interleaved,A,16,4,0.761719,4096,0.981197,2026-06-21T18:06:38.415981+00:00
j12_drift_design_long,interleaved,B,16,4,0.765625,4096,0.981197,2026-06-21T18:06:51.260778+00:00
j12_drift_design_long,interleaved,A,17,4,0.753418,4096,0.981197,2026-06-21T18:07:04.366127+00:00
j12_drift_design_long,interleaved,B,17,4,0.776367,4096,0.981197,2026-06-21T18:07:17.378606+00:00
j12_drift_design_long,interleaved,A,18,4,0.755859,4096,0.981197,2026-06-21T18:07:30.433685+00:00
j12_drift_design_long,interleaved,B,18,4,0.753906,4096,0.981197,2026-06-21T18:07:41.147832+00:00
j12_drift_design_long,interleaved,A,19,4,0.766602,4096,0.981197,2026-06-21T18:07:54.114766+00:00
j12_drift_design_long,interleaved,B,19,4,0.769043,4096,0.981197,2026-06-21T18:08:07.129101+00:00
j12_drift_design_long,interleaved,A,20,4,0.761230,4096,0.981197,2026-06-21T18:08:20.252824+00:00
j12_drift_design_long,interleaved,B,20,4,0.757812,4096,0.981197,2026-06-21T18:08:33.288442+00:00
j12_drift_design_long,interleaved,A,21,4,0.774902,4096,0.981197,2026-06-21T18:08:46.105169+00:00
j12_drift_design_long,interleaved,B,21,4,0.753906,4096,0.981197,2026-06-21T18:08:58.913012+00:00
j12_drift_design_long,interleaved,A,22,4,0.762695,4096,0.981197,2026-06-21T18:09:11.834624+00:00
j12_drift_design_long,interleaved,B,22,4,0.765625,4096,0.981197,2026-06-21T18:09:24.724340+00:00
j12_drift_design_long,interleaved,A,23,4,0.753906,4096,0.981197,2026-06-21T18:09:35.458404+00:00
j12_drift_design_long,interleaved,B,23,4,0.765137,4096,0.981197,2026-06-21T18:09:50.420139+00:00
j12_drift_design_long,interleaved,A,24,4,0.762695,4096,0.981197,2026-06-21T18:10:01.334146+00:00
j12_drift_design_long,interleaved,B,24,4,0.754883,4096,0.981197,2026-06-21T18:10:14.187078+00:00
j12_drift_design_long,interleaved,A,25,4,0.764160,4096,0.981197,2026-06-21T18:10:27.029912+00:00
j12_drift_design_long,interleaved,B,25,4,0.772949,4096,0.981197,2026-06-21T18:10:40.063059+00:00
